call Date,Process Date,settlement  Date ,Their PMN (TADIG) Code,Call Type,Number of Calls,Charged Duration (Minutes),Total Charged Volume (MB),Charges w/o Taxes (Local Currency)
1/1/2018,1/3/2018,12/31/2017,NZLNH,GPRS,2391,0,156,5.37859
1/1/2018,1/3/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/3/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/3/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,1/4/2018,12/31/2017,NZLNH,GPRS,2391,0,189,5.37859
1/1/2018,1/4/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/4/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/4/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,1/5/2018,12/31/2017,NZLNH,GPRS,2391,0,323,5.37859
1/1/2018,1/5/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/5/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/5/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,1/6/2018,12/31/2017,NZLNH,GPRS,2391,0,223,5.37859
1/1/2018,1/6/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/6/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/6/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
1/1/2018,1/7/2018,12/31/2017,NZLNH,GPRS,2391,0,188,5.37859
1/1/2018,1/7/2018,12/31/2017,NZLNH,MOC,5,21,0,3.13465
1/1/2018,1/7/2018,12/31/2017,NZLNH,SMS-MO,4,0,0,0.03788
1/1/2018,1/7/2018,12/31/2017,NZLNH,SMS-MT,190,0,0,0
